RK,PLAYER NAME,POS,POS RANK,TEAM,BYE WEEK,ADP,ADP ROUND,TIMES DRAFTED,HIGH,LOW,STDEV
238,Jaydon Blue,RB,66,DAL,14,167.2,14.11,17,144,202,14.4
239,Travis Hunter,WR,84,JAX,7,167.5,14.11,62,133,196,13.1
240,Tre' Harris,WR,85,LAC,7,167.8,14.12,16,102,206,27.1
241,Bub Means,WR,86,NO,8,167.8,14.12,5,115,200,32.8
242,James Conner,RB,67,ARI,14,167.8,14.12,16,141,194,15.4
243,NY Giants Defense,DST,18,NYG,8,168.1,14.12,27,136,209,20.8
244,Justice Hill,RB,68,BAL,13,168.4,14.12,17,134,200,15.1
245,Cam Ward,QB,28,TEN,9,169.1,15.01,44,141,196,13.1
246,Andy Borregales,K,21,NE,11,169.2,15.01,25,136,206,16.1
247,Germie Bernard,WR,87,PIT,9,169.6,15.02,29,159,198,9.6
248,Evan McPherson,K,22,CIN,6,170.3,15.02,90,122,208,18.4
249,Tennessee Defense,DST,19,TEN,9,171.0,15.03,150,137,210,12.7
250,Caleb Douglas,WR,88,MIA,6,171.2,15.03,52,127,208,18.7
251,Pat Freiermuth,TE,26,PIT,9,172.2,15.04,5,144,207,31.6
252,New Orleans Defense,DST,20,NO,8,173.0,15.05,107,135,210,15.6
253,Chicago Defense,DST,21,CHI,10,173.4,15.05,27,140,210,20.4
254,Kaden Wetjen,WR,89,PIT,9,174.0,15.06,19,166,178,2.8
255,Jacoby Brissett,QB,29,ARI,14,174.2,15.06,14,149,205,14.3
256,Atlanta Defense,DST,22,ATL,11,174.9,15.07,75,120,210,21.0
257,Darius Slayton,WR,90,NYG,8,175.9,15.08,12,166,200,10.6
258,Dominic Zvada,K,23,NYG,8,176.8,15.09,5,168,192,9.1
259,Xavier Hutchinson,WR,91,HOU,8,179.2,15.11,6,166,198,14.4
260,Cincinnati Defense,DST,23,CIN,6,179.3,15.11,51,90,210,34.0
261,Xavier Legette,WR,92,CAR,5,180.2,15.12,6,142,200,20.7
262,Jake Elliott,K,24,PHI,10,180.2,15.12,5,169,204,14.1
263,Greg Dulcich,TE,27,MIA,6,181.0,16.01,21,120,210,23.4
264,Troy Franklin,WR,93,DEN,10,181.3,16.01,15,154,206,16.9
265,Geno Smith,QB,30,NYJ,13,183.7,16.04,6,173,201,12.3
266,Ty Johnson,RB,69,BUF,7,183.8,16.04,13,145,210,24.4
267,Washington Defense,DST,24,WAS,7,195.9,17.04,17,144,210,23.5
