"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","ATT","YDS","TDS","TGT","REC","YDS","TDS"
"48",6,"J.K. Dobbins",LAC,"11.7","8","22","1","3","2","15","0"
"49",6,"Tyler Allgeier",ATL,"137.6","186","683","4","23","18","193","1"
"50",6,"Ray Davis",BUF,"0","0","0","0","0","0","0","0"
"51",6,"MarShawn Lloyd",GB,"0","0","0","0","0","0","0","0"
"52",6,"Khalil Herbert",CHI,"112.5","132","611","2","31","20","134","1"
"53",6,"Jaylen Wright",MIA,"0","0","0","0","0","0","0","0"
"54",7,"Bucky Irving",TB,"0","0","0","0","0","0","0","0"
"55",7,"Roschon Johnson",CHI,"102.1","81","352","2","40","34","209","0"
"56",7,"Braelon Allen",NYJ,"0","0","0","0","0","0","0","0"
"57",7,"Jordan Mason",SF,"44.7","40","206","3","4","3","31","0"
"58",7,"Kimani Vidal",LAC,"0","0","0","0","0","0","0","0"
"59",7,"Alexander Mattison",LV,"133.2","180","700","0","44","30","192","3"
"60",7,"Tank Bigsby",JAC,"22.8","50","132","2","4","1","6","0"
"61",7,"Kendre Miller",NO,"43.3","41","156","1","11","10","117","0"
"62",7,"Audric Estime",DEN,"0","0","0","0","0","0","0","0"
"63",7,"Justice Hill",BAL,"109.3","84","387","3","39","28","206","1"
"64",7,"Kenneth Gainwell",PHI,"97.4","84","364","2","37","30","183","0"
"65",7,"Tyrone Tracy Jr.",NYG,"0","0","0","0","0","0","0","0"
"66",7,"Dameon Pierce",HOU,"82.7","145","416","2","17","13","101","0"
"67",7,"Jamaal Williams",NO,"60.8","106","306","1","20","18","62","0"
"68",7,"Clyde Edwards-Helaire",KC,"70.1","70","223","1","22","17","188","1"
"69",7,"Miles Sanders",CAR,"87.6","129","432","1","41","27","154","0"
"70",7,"Will Shipley",PHI,"0","0","0","0","0","0","0","0"
"71",7,"Trey Sermon",IND,"20.3","35","160","0","6","3","13","0"
"72",7,"Dylan Laube",LV,"0","0","0","0","0","0","0","0"
"73",7,"Keaton Mitchell",BAL,"69.9","47","396","2","11","9","93","0"
"74",7,"Samaje Perine",KC,"121.3","53","238","1","56","50","455","0"
"75",8,"Cordarrelle Patterson",PIT,"36.9","50","181","0","12","9","38","1"
"76",8,"Eric Gray",NYG,"13","17","48","0","7","6","22","0"
"77",8,"D'Onta Foreman",CLE,"91.2","109","425","4","16","11","77","1"
"78",8,"Cam Akers",HOU,"46.7","60","167","2","12","11","70","0"
"79",8,"Pierre Strong Jr.",CLE,"42.8","63","291","1","8","5","47","0"
"80",8,"Deuce Vaughn",DAL,"15","23","40","0","7","7","40","0"
"81",8,"D'Ernest Johnson",JAC,"34.8","41","108","0","12","10","140","0"
"82",8,"Emari Demercado",ARI,"73.3","58","284","2","30","21","119","0"
"83",8,"Isaac Guerendo",SF,"0","0","0","0","0","0","0","0"
"84",8,"Israel Abanikanda",NYJ,"16.3","22","70","0","11","7","43","0"
"85",8,"Jeff Wilson Jr.",MIA,"41.3","41","188","0","17","14","85","0"
"86",8,"Evan Hull",IND,"1.7","1","1","0","1","1","6","0"
"87",8,"Ronnie Rivers",LAR,"20.1","32","129","0","5","5","22","0"
"88",8,"Chris Rodriguez Jr.",WAS,"37.9","51","247","2","2","2","12","0"
"89",8,"Dalvin Cook",DAL,"40.2","67","214","0","20","15","78","0"
"90",8,"Michael Carter",ARI,"58.8","30","187","0","31","24","101","1"
"91",8,"Carson Steele",KC,"0","0","0","0","0","0","0","0"
"92",9,"Rasheen Ali",BAL,"0","0","0","0","0","0","0","0"
"93",9,"Isaiah Spiller",FA,"19","37","96","0","6","6","34","0"
"94",9,"Ty Johnson",BUF,"32.4","30","132","0","7","7","62","1"
"95",9,"Kareem Hunt",FA,"118.5","135","411","9","21","15","84","0"
"96",9,"Emanuel Wilson",GB,"14.8","14","85","0","5","4","23","0"
"97",9,"Jerick McKinnon",FA,"84.4","21","60","1","32","25","192","4"
"98",9,"Deneric Prince",MIA,"0","0","0","0","0","0","0","0"
"99",9,"Royce Freeman",FA,"46.2","77","319","2","2","1","13","0"
"100",9,"Salvon Ahmed",FA,"42.9","22","61","1","23","16","88","1"
"101",9,"Craig Reynolds",DET,"29.6","41","179","1","5","5","47","0"
"102",9,"Isaiah Davis",NYJ,"0","0","0","0","0","0","0","0"
"103",9,"Joshua Kelley",FA,"61.7","107","405","2","12","8","32","0"
"104",9,"Sean Tucker",TB,"5.2","15","23","0","2","2","9","0"
"105",9,"Jaret Patterson",LAC,"0","0","0","0","0","0","0","0"
"106",9,"Kenny McIntosh",SEA,"0","0","0","0","0","0","0","0"
"107",9,"Matt Breida",FA,"46.9","55","151","1","21","17","88","0"
"108",9,"Nyheim Hines",CLE,"0","0","0","0","0","0","0","0"
"109",9,"Ameer Abdullah",LV,"41","15","89","0","24","19","131","0"
"110",9,"Blake Watson",DEN,"0","0","0","0","0","0","0","0"
"111",9,"Sione Vaki",DET,"0","0","0","0","0","0","0","0"
"112",9,"Trayveon Williams",CIN,"14.9","15","69","0","9","7","10","0"
"113",9,"Jase McClellan",ATL,"0","0","0","0","0","0","0","0"
"114",9,"Kyle Juszczyk",SF,"38.5","5","6","0","17","14","119","2"
"115",9,"Tyler Goodson",IND,"18.1","13","87","0","9","6","34","0"
"116",9,"Keaontay Ingram",KC,"14","35","74","0","4","4","26","0"
"117",10,"Kevin Harris",NE,"21.3","16","65","1","3","3","58","0"
"118",10,"Jawhar Jordan",HOU,"0","0","0","0","0","0","0","0"
"119",10,"Alec Ingold",MIA,"24.9","2","0","0","16","13","119","0"
"120",10,"Raheem Blackshear",CAR,"17.1","14","46","0","7","6","45","0"
"121",10,"JaMycal Hasty",NE,"0","0","0","0","2","0","0","0"
"122",10,"Patrick Ricard",BAL,"16.2","0","0","0","7","5","52","1"
"123",10,"DeeJay Dallas",ARI,"8.2","10","36","0","9","6","26","0"
"124",10,"Latavius Murray",FA,"82.9","79","300","4","22","17","119","0"
"125",10,"Boston Scott",PIT,"15.8","20","86","0","6","4","52","0"
"126",10,"Dare Ogunbowale",HOU,"10.3","8","35","0","7","2","18","0"
"127",10,"Jeremy McNichols",WAS,"0","0","0","0","0","0","0","0"
"128",10,"Julius Chestnut",TEN,"0","0","0","0","0","0","0","0"
"129",10,"Keilan Robinson",JAC,"0","0","0","0","0","0","0","0"
"130",10,"Avery Williams",ATL,"0","0","0","0","0","0","0","0"
"131",10,"C.J. Ham",MIN,"10.2","1","7","0","9","7","25","0"
"132",10,"Kene Nwangwu",FA,"1.3","5","13","0","0","0","0","0"
"133",10,"Frank Gore Jr.",BUF,"0","0","0","0","0","0","0","0"
"134",10,"Malik Davis",DAL,"0","0","0","0","0","0","0","0"
"135",10,"Cody Schrader",LAR,"0","0","0","0","0","0","0","0"
"136",10,"Patrick Taylor Jr.",SF,"30","32","141","0","17","11","49","0"
"137",10,"Hassan Haskins",LAC,"0","0","0","0","0","0","0","0"
"138",10,"Jordan Mims",NO,"0","0","0","0","2","0","0","0"
"139",10,"Zach Evans",FA,"1.9","9","19","0","0","0","0","0"
"140",10,"Leonard Fournette",FA,"4","12","40","0","0","0","0","0"
"141",10,"Darrynton Evans",BUF,"30","32","121","1","12","7","49","0"
"142",10,"Myles Gaskin",MIN,"0","0","0","0","0","0","0","0"
"143",11,"Hunter Luepke",DAL,"12.7","6","19","1","4","3","18","0"
"144",11,"Reggie Gilliam",BUF,"1.3","0","0","0","1","1","3","0"
"145",11,"Kendall Milton",CIN,"0","0","0","0","0","0","0","0"
"146",11,"Dillon Johnson",FA,"0","0","0","0","0","0","0","0"
"147",11,"Owen Wright",BAL,"0","0","0","0","0","0","0","0"
"148",11,"Travis Homer",CHI,"0","0","0","0","1","0","0","0"
"149",11,"Adam Prentice",NO,"2.4","2","12","0","3","2","12","0"
"150",11,"Darrell Henderson Jr.",FA,"43.5","46","112","2","14","10","103","0"
"151",11,"George Holani",SEA,"0","0","0","0","0","0","0","0"
"152",11,"DeWayne McBride",FA,"0","0","0","0","0","0","0","0"
"153",11,"Emani Bailey",FA,"0","0","0","0","0","0","0","0"
"154",11,"Carlos Washington Jr.",ATL,"0","0","0","0","0","0","0","0"
"155",11,"Dante Miller",NYG,"0","0","0","0","0","0","0","0"
"156",11,"Michael Burton",DEN,"6.7","7","9","0","3","3","8","0"
"157",11,"Tyrion Davis-Price",PHI,"2.1","6","21","0","0","0","0","0"
"158",11,"Tyler Badie",DEN,"0","0","0","0","0","0","0","0"
"159",11,"Chris Brooks",FA,"10.6","19","106","0","0","0","0","0"
"160",11,"James Robinson",FA,"1","1","2","0","1","1","-2","0"
"161",11,"Daijun Edwards",FA,"0","0","0","0","0","0","0","0"
"162",11,"Michael Wiley",WAS,"0","0","0","0","0","0","0","0"
"163",11,"Ke'Shawn Vaughn",SF,"6.4","24","42","0","5","2","2","0"
"164",11,"Deon Jackson",FA,"4","14","16","0","6","5","14","0"
"165",11,"Zonovan Knight",FA,"3.1","3","13","0","1","1","8","0"
"166",11,"Khari Blasingame",CHI,"5.8","8","26","0","6","3","2","0"
"167",11,"Jonathan Ward",PIT,"1.1","3","11","0","0","0","0","0"
"168",11,"Mike Boone",CAR,"13.3","5","23","0","9","7","40","0"
"169",11,"Ronald Jones II",FA,"0","0","0","0","0","0","0","0"
"170",11,"Lew Nichols III",FA,"0","0","0","0","0","0","0","0"
"171",11,"Melvin Gordon III",FA,"19.7","26","81","1","3","3","46","0"
"172",11,"Trestan Ebner",FA,"0","0","0","0","0","0","0","0"
"173",11,"Jakob Johnson",NYG,"2.2","0","0","0","2","1","12","0"
"174",11,"British Brooks",HOU,"0","0","0","0","0","0","0","0"
"175",11,"Donovan Edwards",FA,"0","0","0","0","0","0","0","0"
"176",11,"Dontrell Hilliard",FA,"0","0","0","0","0","0","0","0"
"177",12,"Louis Rees-Zammit",JAC,"0","0","0","0","0","0","0","0"
"178",12,"Aaron Shampklin",FA,"0","0","0","0","0","0","0","0"
"179",12,"Brandon Bolden",FA,"11.1","4","31","1","0","0","0","0"
"180",12,"Jack Colletto",PIT,"0","0","0","0","0","0","0","0"
"181",12,"Snoop Conner",FA,"0","0","0","0","0","0","0","0"
"182",12,"Tony Jones Jr.",FA,"32.2","26","95","2","10","7","37","0"
"183",12,"Elijah Dotson",FA,"3.9","4","6","0","2","2","13","0"
"184",12,"Jabari Small",TEN,"0","0","0","0","0","0","0","0"
"185",12,"TreVeyon Henderson",FA,"0","0","0","0","0","0","0","0"
"186",12,"Jermar Jefferson",DET,"0","0","0","0","0","0","0","0"
"187",12,"Demetric Felton Jr.",FA,"0","0","0","0","0","0","0","0"
"188",12,"Kenyan Drake",FA,"3.1","2","0","0","3","2","31","0"
"189",12,"La'Mical Perine",GB,"14","22","77","0","5","3","33","0"
"190",12,"Jordan Scarlett",FA,"0","0","0","0","0","0","0","0"
"191",12,"Derrick Gore",FA,"2.6","3","26","0","0","0","0","0"
"192",12,"Nick Bawden",FA,"11.5","2","4","1","3","3","21","0"
"193",12,"Jashaun Corbin",FA,"4.3","1","1","0","3","3","12","0"
"194",12,"Patrick Laird",FA,"0","0","0","0","0","0","0","0"
"195",12,"Darrel Williams",FA,"0","0","0","0","0","0","0","0"
"196",12,"John Kelly Jr.",BAL,"0","0","0","0","0","0","0","0"
"197",12,"Brandon Johnson",FA,"0","0","0","0","0","0","0","0"
"198",12,"Gary Brightwell",CLE,"11.6","9","19","0","7","5","47","0"
"199",12,"Wendell Smallwood",FA,"0","0","0","0","0","0","0","0"
"200",12,"Ty Montgomery II",FA,"9.9","3","9","0","12","5","40","0"
"201",12,"Jonathan Williams",FA,"-0.2","1","-2","0","1","0","0","0"
"202",12,"Pooka Williams Jr.",FA,"0","0","0","0","0","0","0","0"
"203",12,"Anthony McFarland Jr.",FA,"3.1","0","0","0","2","2","11","0"
"204",12,"Devine Ozigbo",FA,"2.3","3","5","0","1","1","8","0"
