"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","COMP","ATT","PCT","YDS","TDS","INT","ATT","YDS","TDS","SACK"
"70",8,"Tommy DeVito",NYG,"96.5","114","178","64%","1101","8","3","36","195","1","37"
"71",8,"Jake Haener",NO,"0","0","0","0","0","0","0","0","0","0","0"
"72",8,"Dorian Thompson-Robinson",CLE,"26.1","60","112","54%","440","1","4","14","65","0","6"
"73",8,"Jaren Hall",FA,"3.1","13","20","65%","168","0","1","6","14","0","4"
"74",8,"Tyler Huntley",FA,"25.6","21","37","57%","203","3","0","15","55","0","4"
"75",8,"Stetson Bennett",LAR,"0","0","0","0","0","0","0","0","0","0","0"
"76",8,"Brandon Allen",SF,"0","0","0","0","0","0","0","0","0","0","0"
"77",8,"Sean Clifford",GB,"1.3","1","1","100%","37","0","0","3","-2","0","0"
"78",8,"Joe Milton III",NE,"0","0","0","0","0","0","0","0","0","0","0"
"79",8,"Ryan Tannehill",FA,"87","149","230","65%","1616","4","7","17","74","1","32"
"80",8,"Tanner McKee",PHI,"0","0","0","0","0","0","0","0","0","0","0"
"81",9,"Case Keenum",HOU,"12.7","34","53","64%","291","1","3","2","1","0","6"
"82",9,"Bailey Zappe",KC,"78.2","127","212","60%","1272","6","9","17","83","1","25"
"83",9,"Jordan Travis",NYJ,"0","0","0","0","0","0","0","0","0","0","0"
"84",9,"Sam Ehlinger",IND,"0","0","0","NaN%","0","0","0","0","0","0","0"
"85",9,"Brett Rypien",MIN,"5.8","18","38","47%","172","0","1","3","19","0","2"
"86",9,"Jeff Driskel",WAS,"15.9","13","26","50%","166","2","2","7","33","0","3"
"87",9,"Michael Pratt",TB,"0","0","0","0","0","0","0","0","0","0","0"
"88",9,"C.J. Beathard",FA,"21.5","40","53","75%","349","1","0","8","35","0","6"
"89",9,"Kyle Allen",PIT,"-1.3","0","0","NaN%","0","0","0","13","-13","0","0"
"90",9,"Devin Leary",BAL,"0","0","0","0","0","0","0","0","0","0","0"
"91",9,"Collin Hill",FA,"0","0","0","0","0","0","0","0","0","0","0"
"92",9,"Logan Woodside",CIN,"0.7","3","4","75%","27","0","1","1","6","0","1"
"93",9,"Matt Corral",FA,"0","0","0","0","0","0","0","0","0","0","0"
"94",9,"Trevor Siemian",FA,"31","86","153","56%","724","2","4","11","40","0","8"
"95",9,"Blaine Gabbert",FA,"8.9","18","35","51%","185","0","3","7","45","0","1"
"96",9,"Jake Fromm",DET,"0","0","0","0","0","0","0","0","0","0","0"
"97",9,"Shane Buechele",BUF,"0","0","0","0","0","0","0","0","0","0","0"
"98",9,"Matt Barkley",FA,"-0.3","0","0","NaN%","0","0","0","3","-3","0","0"
"99",9,"Tim Boyle",MIA,"14.9","48","77","62%","360","1","4","4","5","0","9"
"100",9,"Will Grier",PHI,"0","0","0","0","0","0","0","0","0","0","0"
"101",9,"Max Duggan",FA,"0","0","0","NaN%","0","0","0","0","0","0","0"
"102",9,"John Wolford",CAR,"0","0","0","0","0","0","0","0","0","0","0"
"103",9,"Carter Bradley",LV,"0","0","0","0","0","0","0","0","0","0","0"
"104",10,"Nate Sudfeld",FA,"0","0","0","0","0","0","0","0","0","0","0"
"105",10,"Feleipe Franks",CAR,"0","0","0","0","0","0","0","0","0","0","0"
"106",10,"Reid Sinnett",FA,"0","0","0","0","0","0","0","0","0","0","0"
"107",10,"Ben DiNucci",FA,"0","0","0","0","0","0","0","0","0","0","0"
"108",10,"Jake Luton",CAR,"0","0","0","0","0","0","0","0","0","0","0"
"109",10,"Nathan Peterman",FA,"-0.4","0","0","NaN%","0","0","0","2","-4","0","1"
"110",10,"P.J. Walker",FA,"25","54","111","49%","674","1","5","13","30","0","11"
"111",10,"Brian Hoyer",FA,"6.9","23","42","55%","231","0","2","3","-3","0","1"
"112",10,"Kellen Mond",FA,"0","0","0","0","0","0","0","0","0","0","0"
"113",10,"Anthony Brown Jr.",FA,"0","0","0","0","0","0","0","0","0","0","0"
"114",10,"Ian Book",FA,"0","0","0","0","0","0","0","0","0","0","0"
